Length,Threaded,Normal,Forked
100,0.0050013065338134766,0.0027289390563964844,0.009869098663330078
200,0.0067293643951416016,0.002138853073120117,0.0233156681060791
300,0.00686192512512207,0.001447439193725586,0.03304266929626465
400,0.01744222640991211,0.0014328956604003906,0.04926562309265137
500,0.021978378295898438,0.0014753341674804688,0.03391098976135254
600,0.03080606460571289,0.0015423297882080078,0.054595947265625
700,0.01634955406188965,0.0017330646514892578,0.0707848072052002
800,0.022222518920898438,0.001806020736694336,0.08095502853393555
900,0.025185585021972656,0.00193023681640625,0.08815240859985352
1000,0.02214503288269043,0.0015971660614013672,0.08232760429382324
1100,0.02105093002319336,0.0016398429870605469,0.08491349220275879
1200,0.02812027931213379,0.0022134780883789062,0.11609196662902832
1300,0.02759552001953125,0.0020744800567626953,0.11114048957824707
1400,0.04096364974975586,0.027635574340820312,0.12697577476501465
1500,0.045966386795043945,0.01567697525024414,0.13685846328735352
1600,0.047515869140625,0.01476144790649414,0.1473989486694336
1700,0.04553937911987305,0.0026252269744873047,0.14687609672546387
1800,0.04948115348815918,0.01634502410888672,0.15407538414001465
1900,0.06323933601379395,0.012046098709106445,0.14708375930786133
2000,0.036023616790771484,0.002409219741821289,0.1452023983001709
2500,0.0399479866027832,0.018962621688842773,0.20581507682800293
3000,0.08429288864135742,0.025811433792114258,0.2701394557952881
3500,0.09745407104492188,0.02544569969177246,0.2788822650909424
4000,0.0818483829498291,0.03883051872253418,0.28940486907958984
4500,0.08702254295349121,0.03594088554382324,0.341172456741333
5000,0.09366035461425781,0.028734445571899414,0.377918004989624
5500,0.15230464935302734,0.033455610275268555,0.446225643157959
6000,0.1392686367034912,0.028124332427978516,0.5407493114471436
6500,0.17017388343811035,0.0324254035949707,0.517390251159668
7000,0.16936016082763672,0.031087636947631836,0.544090986251831
7500,0.13874411582946777,0.03450918197631836,0.5510656833648682
8000,0.20964312553405762,0.03340315818786621,0.5626211166381836
8500,0.15780973434448242,0.031466007232666016,0.5991127490997314
9000,0.15821218490600586,0.03756546974182129,0.6406705379486084
9500,0.21885418891906738,0.03650069236755371,0.7117140293121338
10000,0.14888739585876465,0.0992422103881836,0.7639219760894775
10500,0.19879603385925293,0.07709360122680664,0.9096050262451172
11000,0.22434473037719727,0.07923412322998047,0.850278377532959
11500,0.2557096481323242,0.07495641708374023,0.9539167881011963
12000,0.27012205123901367,0.0869135856628418,1.0031228065490723
12500,0.3453867435455322,0.010731220245361328,0.9850869178771973
13000,0.298703670501709,0.044996023178100586,1.0685491561889648
13500,0.30982208251953125,0.07013201713562012,1.180527687072754
14000,0.43857288360595703,0.09557008743286133,1.3391809463500977
14500,0.42997050285339355,0.1088266372680664,1.2722318172454834
15000,0.410736083984375,0.19434905052185059,1.1396002769470215
15500,0.3654494285583496,0.08415365219116211,1.1453356742858887
16000,0.5086925029754639,0.10632896423339844,1.1263623237609863
16500,0.4368858337402344,0.17119169235229492,1.1759042739868164
17000,0.35166239738464355,0.12122058868408203,1.2138941287994385
17500,0.4543900489807129,0.09745907783508301,1.2781145572662354
18000,0.38779354095458984,0.13192987442016602,1.397782802581787
18500,0.3482484817504883,0.1128549575805664,1.4548068046569824
19000,0.3792130947113037,0.09604358673095703,1.479130506515503
19500,0.33905792236328125,0.40126514434814453,1.5256469249725342
20000,0.3525867462158203,0.0919492244720459,1.6507012844085693
20500,0.36660099029541016,0.12940692901611328,1.602832555770874
21000,0.40332937240600586,0.15998363494873047,1.874678611755371
21500,0.4629814624786377,0.1547253131866455,1.824995756149292
22000,0.40799546241760254,0.07723140716552734,1.7824413776397705
22500,0.4154226779937744,0.0677495002746582,1.8841297626495361
23000,0.4559898376464844,0.16109609603881836,2.2565791606903076
23500,0.5657298564910889,0.17734694480895996,2.1000428199768066
24000,0.5755655765533447,0.1021425724029541,2.221860885620117
24500,0.5770514011383057,0.1694469451904297,2.174525737762451
25000,0.5939357280731201,0.16011929512023926,2.23637318611145
25500,0.5651202201843262,0.17974305152893066,2.2839012145996094
26000,0.6292068958282471,0.10865950584411621,2.22292160987854
26500,0.591254472732544,0.10517406463623047,2.295647621154785
27000,0.6856157779693604,0.10506510734558105,2.218550443649292
27500,0.6445848941802979,0.13290047645568848,2.2929160594940186
28000,0.5765421390533447,0.19951462745666504,2.378175973892212
28500,0.6349267959594727,0.10519671440124512,2.287095785140991
29000,0.5689105987548828,0.08144092559814453,2.3228330612182617
